date,temperature_2m_c,humidity_2m_pct,precipitation_mm,wind_speed_10m_ms,solar_irradiance_kwh_m2,demand_mwh,generation_mwh,peak_demand_mw,coal_share,gas_share,hydro_share,nuclear_share,solar_share,wind_share,owid_co2,owid_coal_co2,owid_oil_co2,owid_gas_co2,population,owid_co2_per_capita
2010-01-01,24.95,93.01,0.0,2.31,4.199,94653.2,94363.4,5270.6,0.7397,0.0634,0.0634,0.0528,0.0279,0.0527,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-02,24.16,77.55,0.15,2.87,4.442,100242.0,100307.3,5452.9,0.7367,0.0631,0.0631,0.0526,0.0284,0.056,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-03,25.22,80.23,0.1,3.5,3.844,100912.5,99516.6,5653.0,0.7347,0.063,0.063,0.0525,0.027,0.0598,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-04,26.4,76.95,0.0,3.62,3.416,88820.2,90112.0,5100.0,0.7348,0.063,0.063,0.0525,0.0262,0.0606,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-05,24.15,79.35,0.38,2.59,4.65,92723.7,92086.2,5317.7,0.7376,0.0632,0.0632,0.0527,0.0289,0.0544,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-06,24.19,88.41,0.0,2.81,4.484,91986.6,92248.9,5100.0,0.7368,0.0632,0.0632,0.0526,0.0286,0.0557,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-07,26.59,71.02,0.0,3.28,4.21,94614.9,94160.3,5246.6,0.735,0.063,0.063,0.0525,0.0279,0.0586,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-08,25.58,73.79,0.0,1.87,4.636,109329.0,109035.8,6097.2,0.7409,0.0635,0.0635,0.0529,0.0291,0.0501,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-09,24.01,87.09,0.08,2.89,4.01,95142.7,94434.8,5362.6,0.737,0.0632,0.0632,0.0526,0.0276,0.0563,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-10,25.37,84.82,0.0,2.13,4.026,99516.1,99860.7,5572.8,0.7406,0.0635,0.0635,0.0529,0.0278,0.0518,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-11,24.11,76.38,0.0,2.51,3.985,99143.8,98221.4,5592.2,0.7388,0.0633,0.0633,0.0528,0.0277,0.054,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-12,24.15,83.55,0.2,2.31,4.486,91962.2,92297.2,5231.9,0.7389,0.0633,0.0633,0.0528,0.0288,0.0528,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-13,25.12,80.33,0.31,2.83,3.741,106572.3,106498.9,5880.3,0.7376,0.0632,0.0632,0.0527,0.0272,0.056,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-14,22.37,87.14,0.0,2.88,4.034,109162.8,109905.1,6095.5,0.7369,0.0632,0.0632,0.0526,0.0278,0.0563,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-15,22.66,78.44,0.14,3.07,4.412,106837.5,107669.4,5812.9,0.7354,0.063,0.063,0.0525,0.0286,0.0574,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-16,24.22,83.99,0.0,2.72,3.898,102934.0,102658.6,5626.0,0.7378,0.0632,0.0632,0.0527,0.0276,0.0554,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-17,23.69,93.54,0.27,2.6,4.097,91255.3,91634.9,5100.0,0.738,0.0633,0.0633,0.0527,0.0281,0.0546,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-18,25.46,81.12,0.79,3.59,3.563,108672.8,108240.0,6022.1,0.7342,0.0629,0.0629,0.0524,0.0268,0.0606,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-19,23.93,77.68,0.0,1.54,4.558,108313.5,109793.1,6260.7,0.7422,0.0636,0.0636,0.053,0.0293,0.0482,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-20,23.32,81.56,0.12,3.46,4.115,105949.2,105621.9,5978.1,0.7339,0.0629,0.0629,0.0524,0.0281,0.0598,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-21,27.12,74.87,0.0,2.25,3.981,94645.0,94501.3,5280.2,0.7397,0.0634,0.0634,0.0528,0.028,0.0526,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-22,24.97,91.23,0.0,2.75,3.922,109512.5,109053.9,6441.8,0.7374,0.0632,0.0632,0.0527,0.0278,0.0556,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-23,25.41,77.81,0.0,2.2,4.24,96110.4,95453.9,5349.5,0.7395,0.0634,0.0634,0.0528,0.0286,0.0523,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
2010-01-24,23.53,74.93,0.03,1.95,3.844,100665.2,102762.8,5818.9,0.7413,0.0635,0.0635,0.0529,0.0279,0.0509,1651.6,1065.3,407.9,84.2,1243000000.0,1.329
