date,grid_emissions_tonnes,emissions_intensity_g_per_kwh,emissions_scenario_plus10pp_re,emissions_scenario_plus20pp_re
2010-01-01,69368.78118892001,735.1238000000002,60612.11190164863,51848.50504250117
2010-01-02,73443.60075780001,732.1860000000001,64132.41660955573,54813.88736672625
2010-01-03,72669.19078188001,730.2218,63417.44891515191,54165.7070484238
2010-01-04,65808.1447936,730.2928,57422.48486032135,49043.4050835064
2010-01-05,67507.7025735,733.0925000000001,58956.653213908176,50405.603854316345
2010-01-06,67556.94135837,732.3332999999999,58982.76171170061,50415.33708366519
2010-01-07,68786.97103915,730.5305,60036.4312056818,51285.89137221359
2010-01-08,80286.65772140003,736.3330000000002,70168.38329003639,60050.10885867274
2010-01-09,69172.44277371997,732.4888999999997,60404.25215879285,51629.14360779472
2010-01-10,73498.81333337999,736.0133999999999,64220.09951277545,54948.7348385896
2010-01-11,72116.8529685,734.2275,63000.0680237479,53876.07067245831
2010-01-12,67778.85492767999,734.3543999999999,59215.795874326264,50645.958257623395
2010-01-13,78067.99625556,733.0404000000001,68179.01829161994,58282.23274729627
2010-01-14,80494.72604071003,732.4021000000002,70283.62746390859,60072.528887107146
2010-01-15,78698.36386439999,730.9259999999999,68702.49646009253,58698.758432336275
2010-01-16,75273.41239572,733.2402,65742.75536113561,56204.570232502294
2010-01-17,67213.21865657,733.4893,58702.10931041521,50190.99996426044
2010-01-18,78982.59811199999,729.6988,68932.2194483382,58866.04110511805
2010-01-19,80983.81875309002,737.6039000000001,70805.85387415485,60619.78980342518
2010-01-20,77046.77161676998,729.4582999999999,67230.17129516591,57413.570973561815
2010-01-21,69470.43826484002,735.1268000000002,60701.32403443947,51925.2620654386
2010-01-22,79922.39712534001,732.8706000000001,69798.26964230424,59666.14912025202
2010-01-23,70154.61698159,734.9581000000002,61292.731180984316,52430.84538037863
2010-01-24,75702.53905927998,736.6725999999999,66162.26501186883,56621.99096445766
2010-01-25,80475.5589552,731.592,70249.9239971453,60040.38093250296
2010-01-26,81853.69078575,732.2913,71458.83508996342,61072.16394480036
2010-01-27,70682.24922161999,732.8997999999999,61719.50878885117,52763.83587425267
2010-01-28,77976.65531460002,735.3548000000002,68135.47750900299,58294.29970340597
2010-01-29,80317.99474124002,724.4954000000001,70001.10005492877,59692.23636499203
2010-01-30,82940.65395174999,730.5724999999999,72395.71233400433,61850.77071625868
2010-01-31,84719.73106850001,731.8175000000001,73966.27829203357,63212.82551556714
2010-02-01,87112.19205024,734.1278000000001,76102.78514292295,65093.37823560584
2010-02-02,85767.77456150002,736.3210000000001,74956.79122096971,64145.807880439395
2010-02-03,80099.40899547002,736.0123000000001,69994.54296169642,59889.67692792283
2010-02-04,80636.60940603999,731.7216999999999,70392.39667086175,60156.24679033863
2010-02-05,90825.78321709999,736.5466999999999,79395.29326315635,67955.71982254232
2010-02-06,71737.60765646998,737.0546999999997,62702.795928256484,53675.157243504276
2010-02-07,85399.7455476,732.0522000000001,74577.9487594972,63747.611142756825
2010-02-08,84573.23225315998,732.8467999999998,73861.47738428439,63149.7225154088
2010-02-09,81268.68379504001,736.4389000000001,71029.94843645593,60791.21307787187
2010-02-10,90373.55743275999,737.2414,79003.00413352922,67632.45083429845
2010-02-11,81504.1291332,730.204,71129.60055659266,60763.22157793876
2010-02-12,85387.58125809999,731.9014999999999,74562.14520022013,63736.70914234027
2010-02-13,80922.97348769999,737.3693999999998,70740.80316507576,60566.72433065155
2010-02-14,71683.2854121,736.5048999999999,62661.10859402162,53638.93177594324
2010-02-15,86122.9073558,734.4184999999999,75244.61031144258,64366.31326708519
2010-02-16,89972.39467249998,731.8624999999998,78559.44095610424,67146.48723970848
2010-02-17,83197.776384,732.736,72648.64213935648,62107.82684045676
2010-02-18,82730.73090464,730.5116,72215.78435480167,61700.83780496334
2010-02-19,86376.95233594,737.9246,75532.33539600811,64679.07989698667
2010-02-20,91952.37797624999,733.1374999999999,80312.46685407715,68672.55573190427
2010-02-21,92889.56767199999,729.8048999999999,81078.30924006688,69257.76092237794
2010-02-22,93811.49110090004,731.0330000000004,81891.37710880698,69971.26311671396
2010-02-23,95698.00348624997,731.9074999999998,83566.43577759278,71434.8680689355
2010-02-24,90220.43583558,727.0922,78693.72330525034,67167.01077492067
2010-02-25,93764.58634099999,732.5529999999999,81881.43628742857,69998.28623385716
2010-02-26,93285.256567,730.255,81419.44364125657,69562.95830841057
2010-02-27,87994.58151336,733.7431,76865.70387990544,65736.82624645092
2010-02-28,101203.91154360001,735.1420000000002,88438.61170874853,75673.31187389705
