feature,importance_mean,importance_std
roll7_mean,0.6304035351469703,0.022056969615699404
lag1,0.05998718888637181,0.0038702089571382736
sin365,0.018524883750077593,0.0019277794846500793
lag14,0.01589035442536424,0.0012310317071758954
lag7,0.014157822644984396,0.0009644008310844184
dayofyear,0.012260267501922795,0.0019035767765078191
roll30_mean,0.010891871919714347,0.0009677490493501268
lag2,0.0066950482440290005,0.001115409598379014
lag30,0.006228554826415789,0.00048561225165729967
lag3,0.005832143286100666,0.0007569362100368337
temp_lag1,0.005082111615351137,0.0004519060257596941
is_weekend,0.002888045159588226,0.0006928308289366756
solar_irr,0.002378677888390757,0.00017457201338901763
dayofweek,0.002189053731050228,0.00041684262765022005
wind_speed,0.00036263323804679447,0.00018759418998326224
precip,0.00019050205298352108,6.26167713118075e-05
temp_anomaly,0.00016985514858953722,0.00012780324228422215
month,0.0,0.0
roll7_std,-2.2756793193601245e-05,6.501460045275258e-05
humidity,-5.537841786372733e-05,0.00023039492198767452
temperature,-0.0009254382194423983,6.492461647067026e-05
cos365,-0.002016989851627393,0.0003718897419505926
